level mean lo hi
0 2.8122 2.8063 2.8152
1 3.4402 3.3892 3.4658
2 3.5206 3.4032 3.7554
3 2.3953 2.3642 2.4108
4 1.7275 1.6048 1.9727
5 1.3935 1.2633 1.6538
