level mean lo hi
0 1.3950 1.2201 1.5990
1 1.5330 1.3405 1.6823
2 1.4155 1.1448 1.5709
3 1.3663 1.2841 1.4586
4 1.2697 1.2149 1.3072
5 1.1636 1.0838 1.2314
