level mean lo hi
0 2.1844 2.1844 2.1844
1 2.2368 2.2368 2.2368
2 2.2287 2.2287 2.2287
3 1.6851 1.6851 1.6851
4 1.4952 1.4952 1.4952
5 1.2631 1.2631 1.2631
