level mean lo hi
0 2.7727 2.4038 3.5744
1 3.1051 2.3859 4.6518
2 3.1376 2.5484 4.3184
3 2.2464 1.5486 3.8500
4 1.8393 1.4096 2.9363
5 1.4684 1.1954 2.1529
