level mean lo hi
0 2.6295 2.5762 2.6920
1 2.7807 2.6826 3.0917
2 2.8582 2.6066 2.9974
3 1.9855 1.7710 2.2822
4 1.6998 1.4636 1.8954
5 1.2108 1.0762 1.3778
