level mean lo hi
0 1.7058 1.6723 1.7392
1 1.6188 1.5292 1.7085
2 1.5283 1.4982 1.5583
3 1.3715 1.2024 1.5405
4 1.2225 1.1081 1.3370
5 1.1048 1.0261 1.1835
