avg_compression spread
2.3749 12.6399
3.4270 12.9487
3.4270 12.9487
3.4270 12.9487
3.4270 12.9487
1.9696 15.3099
1.9696 15.3099
1.9696 15.3099
1.9696 15.3110
1.9696 15.3110
